Profile_API,Profile_Label,Scope_Category,Contact_Read,Master_Current,Master_Proposed,Client_User_Current,Client_User_Proposed,Data_Subject_Current,Data_Subject_Proposed,Non_Singpass_Current,Non_Singpass_Proposed,Singpass_Current,Singpass_Proposed,Changed_Assignment_Count,Disposition,Boundary,Draft_Status_At_Creation
MarketingProfile,Marketing User,INTERNAL_INTERACTIVE,true,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-CBS Contact - Client User Layout,Contact-Contact Layout,Contact-CBS Contact - Data Subject Layout,Contact-Contact Layout,Contact-CBS Contact - Non-SingPass,Contact-Contact Layout,Contact-CBS Contact - SingPass,4,PROPOSE_DEDICATED_INTERNAL_MAPPING,A-IMP-02 internal scope,PENDING_MANIFEST_APPROVAL
Minimum Access - API Only Integrations,Minimum Access - API Only Integrations,NO_CONTACT_ACCESS,false,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,0,RETAIN_NOT_ASSIGNED,No direct Contact access,NO_CHANGE
Minimum Access - Salesforce,Minimum Access - Salesforce,NO_CONTACT_ACCESS,false,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,0,RETAIN_NOT_ASSIGNED,No direct Contact access,NO_CHANGE
Partner Portal Profile,Partner Portal Profile,EXPERIENCE_BOUNDARY,false,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,0,RETAIN_CURRENT,M021/A-IMP-09 Experience Cloud boundary,RETAIN_AIMP09_BOUNDARY
PartnerCommunity Profile,PartnerCommunity Profile,EXPERIENCE_BOUNDARY,false,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,0,RETAIN_CURRENT,M021/A-IMP-09 Experience Cloud boundary,RETAIN_AIMP09_BOUNDARY
PartnerCommunity Profile1779766427188,PartnerCommunity Profile1779766427188,EXPERIENCE_BOUNDARY,false,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,0,RETAIN_CURRENT,M021/A-IMP-09 Experience Cloud boundary,RETAIN_AIMP09_BOUNDARY
QR Code Site Profile,QR Code Site Profile,EXPERIENCE_BOUNDARY,true,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,0,RETAIN_CURRENT,M021/A-IMP-09; direct read access but no A-IMP-02 assignment change,RETAIN_AIMP09_BOUNDARY
Read Only,Read Only,INTERNAL_INTERACTIVE,true,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-CBS Contact - Client User Layout,Contact-Contact Layout,Contact-CBS Contact - Data Subject Layout,Contact-Contact Layout,Contact-CBS Contact - Non-SingPass,Contact-Contact Layout,Contact-CBS Contact - SingPass,4,PROPOSE_DEDICATED_INTERNAL_MAPPING,A-IMP-02 internal scope,PENDING_MANIFEST_APPROVAL
Sales Insights Integration User,Sales Insights Integration User,INTERNAL_INTEGRATION,true,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-CBS Contact - Client User Layout,Contact-Contact Layout,Contact-CBS Contact - Data Subject Layout,Contact-Contact Layout,Contact-CBS Contact - Non-SingPass,Contact-Contact Layout,Contact-CBS Contact - SingPass,4,PROPOSE_DEDICATED_INTERNAL_MAPPING,Record Types hidden in Profile; verify effective Permission Set access,PENDING_MANIFEST_APPROVAL
Salesforce API Only System Integrations,Salesforce API Only System Integrations,NO_CONTACT_ACCESS,false,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,0,RETAIN_CURRENT,No direct Contact access,NO_CHANGE
SolutionManager,Solution Manager,INTERNAL_INTERACTIVE,true,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-CBS Contact - Client User Layout,Contact-Contact Layout,Contact-CBS Contact - Data Subject Layout,Contact-Contact Layout,Contact-CBS Contact - Non-SingPass,Contact-Contact Layout,Contact-CBS Contact - SingPass,4,PROPOSE_DEDICATED_INTERNAL_MAPPING,A-IMP-02 internal scope,PENDING_MANIFEST_APPROVAL
Standard,Standard User,INTERNAL_INTERACTIVE,true,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-CBS Contact - Client User Layout,Contact-Contact Layout,Contact-CBS Contact - Data Subject Layout,Contact-Contact Layout,Contact-CBS Contact - Non-SingPass,Contact-Contact Layout,Contact-CBS Contact - SingPass,4,PROPOSE_DEDICATED_INTERNAL_MAPPING,A-IMP-02 internal scope,PENDING_MANIFEST_APPROVAL
