Profile_API,Profile_Label,Profile_Metadata_Path,Scope_Category,Master_Layout,Client_User_Layout,Data_Subject_Layout,Non_Singpass_Layout,Singpass_Layout,Contact_Read,Contact_Create,Contact_Edit,Contact_Delete,Contact_ViewAll,Contact_ModifyAll,Visible_Contact_Record_Types,Default_Contact_Record_Type,Active_User_Count,Evidence_Source
End User,End User,force-app/main/default/profiles/End User.profile-meta.xml,INTERNAL_INTERACTIVE,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,true,true,true,true,false,false,NONE,NONE,6,Sandbox assignment screenshots|Profile metadata|SOQL
Executive Sponsor,Executive Sponsor,force-app/main/default/profiles/Executive Sponsor.profile-meta.xml,INTERNAL_INTERACTIVE,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,true,true,true,true,false,false,NONE,NONE,0,Sandbox assignment screenshots|Profile metadata|SOQL
Guest License User,Guest License User,force-app/main/default/profiles/Guest License User.profile-meta.xml,EXPERIENCE_BOUNDARY,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,false,false,false,false,false,false,NONE,NONE,0,Profile metadata|SOQL
Identity User,Identity User,force-app/main/default/profiles/Identity User.profile-meta.xml,NO_CONTACT_ACCESS,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,false,false,false,false,false,false,NONE,NONE,0,Profile metadata|SOQL
MarketingProfile,Marketing User,force-app/main/default/profiles/MarketingProfile.profile-meta.xml,INTERNAL_INTERACTIVE,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,true,true,true,true,false,false,NONE,NONE,0,Sandbox assignment screenshots|Profile metadata|SOQL
Minimum Access - API Only Integrations,Minimum Access - API Only Integrations,force-app/main/default/profiles/Minimum Access - API Only Integrations.profile-meta.xml,NO_CONTACT_ACCESS,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,false,false,false,false,false,false,NONE,NONE,0,Sandbox assignment screenshots|Profile metadata|SOQL
Minimum Access - Salesforce,Minimum Access - Salesforce,force-app/main/default/profiles/Minimum Access - Salesforce.profile-meta.xml,NO_CONTACT_ACCESS,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,NOT_ASSIGNED,false,false,false,false,false,false,NONE,NONE,0,Sandbox assignment screenshots|Profile metadata|SOQL
Partner Portal Profile,Partner Portal Profile,force-app/main/default/profiles/Partner Portal Profile.profile-meta.xml,EXPERIENCE_BOUNDARY,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,false,false,false,false,false,false,NONE,NONE,1,Profile metadata|SOQL
PartnerCommunity Profile,PartnerCommunity Profile,force-app/main/default/profiles/PartnerCommunity Profile.profile-meta.xml,EXPERIENCE_BOUNDARY,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,false,false,false,false,false,false,NONE,NONE,1,Profile metadata|SOQL
PartnerCommunity Profile1779766427188,PartnerCommunity Profile1779766427188,force-app/main/default/profiles/PartnerCommunity Profile1779766427188.profile-meta.xml,EXPERIENCE_BOUNDARY,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,false,false,false,false,false,false,NONE,NONE,1,Profile metadata|SOQL
QR Code Site Profile,QR Code Site Profile,force-app/main/default/profiles/QR Code Site Profile.profile-meta.xml,EXPERIENCE_BOUNDARY,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,true,false,false,false,false,false,NONE,NONE,1,Profile metadata|SOQL
Read Only,Read Only,force-app/main/default/profiles/Read Only.profile-meta.xml,INTERNAL_INTERACTIVE,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,true,false,false,false,false,false,NONE,NONE,0,Sandbox assignment screenshots|Profile metadata|SOQL
Sales Insights Integration User,Sales Insights Integration User,force-app/main/default/profiles/Sales Insights Integration User.profile-meta.xml,INTERNAL_INTEGRATION,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,true,true,true,true,true,true,NONE,NONE,0,Sandbox assignment screenshots|Profile metadata|SOQL
Salesforce API Only System Integrations,Salesforce API Only System Integrations,force-app/main/default/profiles/Salesforce API Only System Integrations.profile-meta.xml,NO_CONTACT_ACCESS,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,false,false,false,false,false,false,NONE,NONE,0,Sandbox assignment screenshots|Profile metadata|SOQL
SolutionManager,Solution Manager,force-app/main/default/profiles/SolutionManager.profile-meta.xml,INTERNAL_INTERACTIVE,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,true,true,true,true,false,false,NONE,NONE,0,Sandbox assignment screenshots|Profile metadata|SOQL
Standard,Standard User,force-app/main/default/profiles/Standard.profile-meta.xml,INTERNAL_INTERACTIVE,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,Contact-Contact Layout,true,true,true,true,false,false,NONE,NONE,0,Sandbox assignment screenshots|Profile metadata|SOQL
