evidence_id,org_id,executing_user,row_count,result_summary,manifest_rows,review_status,gate_effect
R07-RERUN-01,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,2,"Two active Customer Community Plus users; one linked Contact remains in R04",M020|M021|M026-M029,HIGH_RISK_STOP_REMEDIATION_PARTIAL,Remaining overlap requires security and data-owner review
R08-RERUN-01,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,4,"Both external users still hold both legacy permission sets",M020|M021|M026-M029,HIGH_RISK_STOP_UNCHANGED,External assignment concern remains
R04-RERUN-02,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,0,"Second post-remediation R04 returned zero rows; business and privacy authority formally approved RC02",M010|M015|M016|M018|M029,RC02_RESOLVED_BY_OWNER_APPROVAL,Retain evidence and prevent recurrence
R07-RERUN-02,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,2,"Two active external users remain but neither linked Contact overlaps R04",M020|M021|M026-M029,RC03_OVERLAP_RESOLVED,Retain evidence and continue separate RC04 review
R08-RERUN-02,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,4,"Security and data authorities approved retaining both permission sets for both active Client Users",M020|M021|M026-M029,RC04_RESOLVED_BY_APPROVED_RETENTION,Retain four current assignments without scope expansion
RC05-VERIFY-01,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,0,"No Subject records; active Sandbox Portal Role values match repository metadata",M005|M006|M010|M018|M029,RC05_RESOLVED_BY_RUNTIME_AND_METADATA_VERIFICATION,Retain evidence and prevent recurrence
R09-01,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,17,"17 of 20 standard Contact history slots used; M025 target is 6 of 20 after controlled replacement",M024|M025|M029,COLLECTED_PENDING_REVIEW,Capacity passes with replacement; R09-02 retention evidence still required
R09-02,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,,"Administrator confirms Field Audit Trail is not licensed or enabled and A-IMP-02 does not rely on extended retention",M024|M025|M029,CONFIRMED_NOT_APPLICABLE,Use standard history capacity and make no extended-retention claim
R09-03,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,1,"Queue exists with correct API name and Case support and has one active direct user member",M014|M029,COLLECTED_PASS_PENDING_REVIEW,Queue gate passes
R09-04,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,9,"Executing user can create Case and write all nine M014 fields; required picklist values are available",M014|M029,COLLECTED_PASS_PENDING_REVIEW,Case create and FLS gate passes without DML
R09-05,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,3,"Relevant licences are active; Customer Community Plus has 13 remaining; required features pass R09-01 through R09-04",M014|M024|M025|M029,COLLECTED_PASS_PENDING_REVIEW,Licence and feature gate passes for current scope
R06-CORRECTED-01,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,0,"Approved corrected query found zero duplicate groups across Pending Sent and Viewed",M013A-M013D|M029,RC07_RESOLVED_BY_CORRECTED_QUERY,Corrected active-duplicate evidence gate passes
RC08-LAYOUT-EVIDENCE,00DBK00000C9kEP2AZ,,7,"Internal 12-Profile 46-assignment matrix approved; shared Contact layout retained; Community layouts retained and deferred to A-IMP-09",M018,RC08_RESOLVED_BY_SCOPED_APPROVAL,Implement only approved internal scope and preserve Experience no-regression
M018-PS-REVIEW,00DBK00000C9kEP2AZ,cbsneworg@creditbureau.com.sg.chentest,0,"No relevant Contact Record Type Permission Set is assigned to active users in the 12 approved Profiles",M018,PASS_INTERNAL_MATRIX_APPROVED,Permission Sets do not alter the approved internal layout mapping
