"Relative_Path","Difference","Baseline_SHA256","Sandbox_SHA256"
"objects/Consent_Request_Item__c/fields/Consent_Purpose__c.field-meta.xml","CONTENT_CHANGED","3430b988bbe9815156b674a1bf786a296e9ed8803cf397b1935977adfc903742","e601251df1755f503103a5b51640ff10ffd122df9e19838525efebda5a218a40"
"objects/Order/Order.object-meta.xml","CONTENT_CHANGED","0e9405dc2cac944fb1b7fccfa5496e73ec0cd8509c6b9e9fe343cff1616c7f57","8c3f79fbb87d32e6e78f1529283c49ff3e7a35f4effe9abee1c43847d65d9a2d"
"objects/Quote/Quote.object-meta.xml","CONTENT_CHANGED","3bd95d6c737bece516d435ce84eb74ff6750a09918c040e88f40be7b0f8de424","e28d13b2276877e0180c03a4951db9d2e8fedc92efbf037cd4a19c3d5d932887"
"objectTranslations/Consent_Request_Item__c-en_US/Active_Request_Key__c.fieldTranslation-meta.xml","SANDBOX_ONLY","","2fe87de5ed8c2a41dcc148857b493c33062e31d3d6b1076089b84597bc516770"
"objectTranslations/Consent_Request_Item__c-en_US/Consent_Purpose__c.fieldTranslation-meta.xml","SANDBOX_ONLY","","c88c647a7ffa938e5d49259b1b9a6e52389c91d804ad3cc4c30021ee69de0dba"
"objectTranslations/Contact-en_US/Contact-en_US.objectTranslation-meta.xml","CONTENT_CHANGED","df771df9cd2cef3c6fe64b6f89d43a5696a0c8b4bfa73c22316d9a73a1cd0725","5e32b5462984d1bfc8f2eab735382787a45b2d4aa57afcda9878309ee2c47698"
"profiles/Admin.profile-meta.xml","CONTENT_CHANGED","187dfe0c69e3e345729ca63f33855bda5b5d189a84556551189bfc595ecdaa0e","8d1d91e77d4955e53a37caf251ee5248d6129b08f47c62d70268700df1aa51d1"
"profiles/Analytics Cloud Integration User.profile-meta.xml","CONTENT_CHANGED","c69cccd6481c693a4004758ebc062f0d4d9cbbdc9c5395cc839d6e7dccbd7a6a","d3aeedf17f841c4a89b6fec59aac65a6cc756db1cc35f6c16aed36752c14d25f"
"profiles/Analytics Cloud Security User.profile-meta.xml","CONTENT_CHANGED","edd4b4b7861d84fa5d0a98546f12d45a41956d1ba5bdd1f57d062b07b2d003eb","8757ee6d684b23e06e6798c88255eaad35c8fab246637a973506c9e401bb538e"
"profiles/Chatter External User.profile-meta.xml","CONTENT_CHANGED","679434b2abfc61dc65505c68e1c0cb58fdd54c121a7370dcfd83e4996e9c7512","4ae67fd6dd60f966e751a2315a69ea5cb0fc536aba71d598de84a24215dcc59a"
"profiles/Chatter Free User.profile-meta.xml","CONTENT_CHANGED","08c8e47a16e2d0bf58210bf9954fb956874a3a557f301158d4c30091f7299c7a","7eec8ebdc0e9e4de0e6fb0668ccf1761cd9c2fc4aac5c612b7a4707d8f32d090"
"profiles/Chatter Moderator User.profile-meta.xml","CONTENT_CHANGED","e92bd8f84d73e4373bfc871c67b07010f31eee6735cbf905027433f95fff39cf","649fffb0c1ebd69ef2ab322dbe57896dc68d35f3ce6f6c1f7ea65217a0c26362"
"profiles/Community Profile.profile-meta.xml","CONTENT_CHANGED","0bcdda6da0d471d43c6f6093b159aa60d3ade8576758ef1c5f81ec1bbbe6c376","a7a6bc3afdae98b96397399d520bf2c13ce66c05cddaa5690c53ad160e59d435"
"profiles/ContractManager.profile-meta.xml","CONTENT_CHANGED","9bcbcac6544acbf5acc94f50d3db686e477689a0f36c82cff145e95132652439","c9b634c9ff8ebdaf529ed30e806d83715b3c574631c53572d3f2f8b0fb2fc4af"
"profiles/CPQ Integration User.profile-meta.xml","CONTENT_CHANGED","ebc3b0710254270a840059c970b5a9abc64324915aff7af04d75236bdd75774b","2837ef1079450313cb7830c121ed2af60e06e637d4cfa157c108c3dbbbe2ed1e"
"profiles/Customer Community Plus User.profile-meta.xml","CONTENT_CHANGED","71ca4f64e7ea0c69877d36a537e88f7c1e271309e5e67f0949c682af7e4a8df1","82e2d6478481b5c7995da7d6bc79af362a2439e79351854e59cd461cbff5cdcb"
"profiles/End User.profile-meta.xml","CONTENT_CHANGED","33dfda60acc22af6d7cf13b6ab9bde492d2c7a1978c6128fbd0b48356b73248a","30af774283be419de2609755c5182297dcc222a4369d89e726432cd2f1ca82b3"
"profiles/Executive Sponsor.profile-meta.xml","CONTENT_CHANGED","250a487f0cb9d8581a9b12cd42c85cecff94384d758679617f5c0ed7f6dcae29","1489f0e71e3a50152f2238ffa57be77e8ab6b9c6a4116739d58915daf3bb2cef"
"profiles/Guest License User.profile-meta.xml","CONTENT_CHANGED","3c75dff3e52734eb57e558dbffa10f83e6a6b7f607a2190fefb305f479d696a7","9cc229b96d3d0f0cb91ee447f90dcd519c1af456da14a74600658f6fb24c99b8"
"profiles/Identity User.profile-meta.xml","CONTENT_CHANGED","11e3adb8c863589efeacbeced0fc4248324f32d59bb14ae621f000e16a52a62b","79dc1370bde7f481f27527878627a7348dc335ae566afafdc63aaee8a2b2f9bc"
"profiles/MarketingProfile.profile-meta.xml","CONTENT_CHANGED","f66364eead74429a100ae99329211d9f5f65638719e0c461046bf9d792d75a1b","29bf871b5bf6df97892b7a9a7f39c6694e5d7163e0861783b39c134fbaacc110"
"profiles/Minimum Access - API Only Integrations.profile-meta.xml","CONTENT_CHANGED","2a3b441fbf34790e15405299a5e696e009c3f5f3530c4f0edb84cedb7b931fa5","9101ac6469a76e2ff06fe69105a177b2e8f5418804634191495a02fc2545ff97"
"profiles/Minimum Access - Salesforce.profile-meta.xml","CONTENT_CHANGED","bd4919ac5a6af6ebb7274ff027f864ce2f5227374c078d4065706d7c72c1f1d6","ed763247ca48d6b7dec627cd769319da2a299d7c1c22f3eff4be30c4f0fe23af"
"profiles/Partner Portal Profile.profile-meta.xml","CONTENT_CHANGED","81fd0b0e8dcde97c501ac1782b14e977d00cb5647b9cd3cf7ed63ec4de202245","a81a1adedf37e0e21ada238724c15f98254d67371d75c0db9b83945c6be88e18"
"profiles/PartnerCommunity Profile.profile-meta.xml","CONTENT_CHANGED","1860a926f02bf133701b8987d56a619ea99ad253c963aca7bee4450b73e7ad4e","4e55a14993febda01a2389c5bdab0de767437f7fbcc53773c665b7284cd17d42"
"profiles/PartnerCommunity Profile1779766427188.profile-meta.xml","CONTENT_CHANGED","cce8d42195ecf1fa9af23bc04fcb44e5ec5335206fe8092377a1e3e8841e743c","c2cc61a65c07ef3739c1d324711d9ba3cd462e286d4bc8de77f329114a7d2aef"
"profiles/QR Code Site Profile.profile-meta.xml","CONTENT_CHANGED","f451488c103121f8ece665955fec3ef82ef6bd6c66f13bd902bde77c7869d7af","443bbc55ce84945456e623c0e6860f967490c6a5010c6ef895a8e119433c98e6"
"profiles/Read Only.profile-meta.xml","CONTENT_CHANGED","5eed969c0a96a37d942eda43fd4e4fd0ef5858d8f229263ff53cedcb91db0f1f","db42cdb08191f6db58f30377680674b9dce7d456da968da28b46b3020394568f"
"profiles/Sales Insights Integration User.profile-meta.xml","CONTENT_CHANGED","63076c9c3f903b0fc277858b0f235d301126b30412fba632fcd429e384af970a","f9f2a9640769454a9fdbb60a4580526bf1d379123b88a50415f5c06bb0c9f120"
"profiles/Salesforce API Only System Integrations.profile-meta.xml","CONTENT_CHANGED","23dab67a10ae5fd94d87c8a6294781c7a1d8720fba1c2bb0b7dc3420c00e61ec","35474f8a5b48cc22d6edc090858d972b2f3fcca5466e3f692a81733bb69bc566"
"profiles/SolutionManager.profile-meta.xml","CONTENT_CHANGED","b09399bbb1bfcecef0b4df13fde3964de9cceb412a87944b2a1fd8d0e764c970","94f3c645b73907a0a49809a8fe873faa42993c31029681f9663d517ff78e5baa"
"profiles/Standard.profile-meta.xml","CONTENT_CHANGED","04a2952a7a341b9f163278305f2c4cd73001c770423896a96e5405bfaccf7a02","ba0d32489a991fc65b5d5eba9cef2786e3f1fd24beb0d7c24e9bf264d63d9a79"
"queues/CBS_Processing_Queue.queue-meta.xml","CONTENT_CHANGED","1c64ef41010202f1892ab0f370b5c4dae49244c3655154390d733db119e72605","8004411d94606ee3018bc83e4489233da85032f36c13169f23f29b9e7ce4f721"
"settings/Analytics.settings-meta.xml","CONTENT_CHANGED","be93ab9a7e2d9a4f064e1ce8a0958ae3dd9ea62086a6584e1c61ffaf31a18387","4a401c7df8edd3d908c7c2c7ebe3ae69d704775d3c0976d586f3c165e7d08e12"
"settings/Apex.settings-meta.xml","CONTENT_CHANGED","ca7077bcafe738ae811beb52e05f39457e6ed9dc885ea89b0c106e7df1630c60","6f5b492b32e048f0f17a58cf82e81b04a30da77b3379bfafc98a7c7f98e61ea1"
"settings/Case.settings-meta.xml","CONTENT_CHANGED","2fe264167ad7c2db1f101be22fffa232ad4b6e7ee26bc1ea42f1dac7ce05bcaa","4d327beb4abd2c51e79afbb988e90e5524c39416920c06330c22d6696293daa0"
"settings/Commerce.settings-meta.xml","CONTENT_CHANGED","1ed4182c35044a99ac7b1154c172833e6d70d435075c3b9ad478a953cb45d553","cbb2a020ff566b0367db7abe66538260afce1acb218b0607c5fd93b2be00709f"
"settings/DevHub.settings-meta.xml","CONTENT_CHANGED","ba8d43e9987e37c5e89843f5f6044c947ce403b710a599a79eb249519d09a8b6","ab7559950d1a12af6ed3ae467d2b8912b1be9e257a448259f3d76d817f972832"
"settings/EncryptionKey.settings-meta.xml","CONTENT_CHANGED","21e2ce6264256b14778ed5bca66775facb9520696daa1d6db2ec5287ead7047f","def5ebaffb602cccb04b9be314e0df0703d4c05fb0b8113765aa880888888411"
"settings/GRCIntelligenceUdd.settings-meta.xml","CONTENT_CHANGED","3dc455ff8d819a78e42fbc42a87a3fd1a8c5ea174335cf661d85f9446c364fc0","8229aa5d7e704daaf7930633a23a41b4611bf1cff9142f7f048f28498051c4e4"
"settings/Industries.settings-meta.xml","CONTENT_CHANGED","e0bc0f95dc13ba07e23d4868a149ff770961e902a94fcc171c7e2af0ae3e9166","b53ce1bf21af56bd2fdd31fafc99dfce8936a1c736cd9650b79d6edbca7208d3"
"settings/Language.settings-meta.xml","CONTENT_CHANGED","7244f1908fd290a93072f958ecb4c587d2c55b83352e8516d8431ab8be55ae01","7e4922401e76ad98e4ec6039452b882fd0eff9c65dd65a573e0c36176267a473"
"settings/LeadConfig.settings-meta.xml","CONTENT_CHANGED","6dc8584908649c0ea6d5bdea14787b21a37f3bbb1205d84c176ee29448902c8f","bbc17155dc52f6bed545d5519bde82962fa13d7340afab7c5fe93fb198f12385"
"settings/LightningExperience.settings-meta.xml","CONTENT_CHANGED","adda07be41fd32849dbcfa9f7bef11ab52ea868df84226a2d4b37cf4f7e7ae8f","582ada8055e364c8f224b484a2084accf12e7ea1da4e5ed5a31f1e910c093565"
"settings/Security.settings-meta.xml","CONTENT_CHANGED","df61515e1453bc7dd0815ab89f545a8af749316f093eda54c936f6c0baaa8983","42e4859a3e4a6063ce37bc4fbb2245b9867491c3c223af0fbf41a0546ca59d3c"
"settings/ServiceItsmIntelligenceUdd.settings-meta.xml","CONTENT_CHANGED","29f3ec02e2fc5545236f18a9b175384e84ee42bc3a528283176fb946c7ed3ce9","b91432cfd985a90b077f1bf2808bd89e0a2a7e8f48f52cf186a31cee3fdba943"
"settings/UserInterface.settings-meta.xml","CONTENT_CHANGED","3ec9e90bc8b6c80451c26a57cdaaff0a9a28ca97c4a99c676a9acaf11945e55a","bb0dffc9b3d63316b6c8a9a67a9f37eee85ae48d4ef445ec566f2ee38a9ac145"
"siteDotComSites/PartnerCommunity2.site","CONTENT_CHANGED","0a4cedce73c94ac2dd8290d085ea166c9ae0792bc368ca2ca8076e9f83686831","003bff754709c14132bdd713e0f212caa586ed377d71985fba192131e99bc47f"
