"Account_ID","Masked_Account_Name","Current_Client_Status","Client_Code_Status","Closed_Won_Evidence","Contract_Evidence","Signed_File_Evidence","Existing_Onboarding_Tasks","Active_External_Users","Proposed_Target_Status","Baseline_Option","Evidence_To_Rebuild","Exception_Reason","Business_Owner","Decision","Approval_Date","Implementation_Status","Notes"
"H-8fc3a76fffd1dec0","H-f5b2711948c338f5","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-bbf262af34c231cb","H-f5334dfc190c44fd","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-2a764643fdbcecd0","H-3b70575cccce2c61","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-c16c7d26204ac456","H-a1fb367eb6535a31","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-71ddc5fb7e23d1af","H-a1fb367eb6535a31","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-2ec4e7416fea116b","H-a1fb367eb6535a31","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-d40bdc6c91db228e","H-a1fb367eb6535a31","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-999e3ab792edb9b7","H-a1fb367eb6535a31","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-3afd39c385c74a37","H-2fb783c85c4e665c","Active","PRESENT_UNIQUE_IN_EXPORT","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","START_NEW_ONBOARDING_CYCLE","Closed Won, Contract, signed File, checklist and approval evidence.","","陈财 / CBS系统负责人","APPROVED - NEW ONBOARDING CYCLE","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-12c9739cf43ac1be","H-6976f2866b26190b","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-9cc4391155786ebe","H-598f2e7996682755","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-94f2d3236a1871b7","H-36224f880818f736","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-4564b11b9dd906b7","H-5fd2604da30ecd32","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-adc2fb8fc239691d","H-6787e3feb6f9bab9","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-f72dc6efd4ee08a6","H-d815019b3c18d0f6","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-91f535d3d69cde1c","H-d437facc4fdd9726","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-04f09d10360f43a0","H-08bd6a75de57c07f","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-f61e47beba1e313f","H-d7715fefb1c64699","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-bf439508c1b7ae24","H-5c618371e2150f78","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-cf31068347580b06","H-d437facc4fdd9726","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-779704b86c92451a","H-7234b1886638f69f","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-704ffb4c9eba5498","H-cf61ec4b156c2609","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-a112928b69e525b3","H-6065110741a5c112","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-b9d8e13b8b78a480","H-c79850ce2bccbf86","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-349f9f0dbd3df173","H-85e66642a58af00c","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-07ff886ceb4688ff","H-adc9f20a0e1097da","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-901b28a9b096504e","H-66c302192ad20ef2","Active","PRESENT_UNIQUE_IN_EXPORT","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=1","PENDING BUSINESS DECISION","GRANDFATHER_EXCEPTION_CANDIDATE_OR_REBUILD","External access entitlement, historical approval, Contract/File evidence and named owner review.","REQUIRED IF GRANDFATHER IS SELECTED","陈财 / CBS系统负责人","APPROVED - GRANDFATHER EXCEPTION (NOT ONBOARDING-COMPLETE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-4dfe138aba56a92d","H-87a2a9c8e24533c2","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","HOLD_PENDING_BUSINESS_CLASSIFICATION","CBS-client classification, notification-email ownership and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-4a1a9314ff98e22f","H-a1fb367eb6535a31","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-d0bc10bece3f662e","H-a1fb367eb6535a31","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-19ab2ea76cf18f81","H-aa0ec0b03efd3f7f","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-8feedf38fee5629d","H-10386f1ed57cd4b0","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-c138f7e7f39272e1","H-f2e9fee8ffaebcc2","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-6427c7ba5bd71a3c","H-ad8ff67f37e0e602","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
"H-be602bc241704caa","H-fd36cad6aa047ef3","","MISSING","COUNT=0","COUNT=0","LINK_COUNT=0; BUSINESS_VERIFICATION_REQUIRED","MATCH_COUNT=0","COUNT=0","PENDING BUSINESS DECISION","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","CBS-client classification and accountable business owner.","","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","POLICY APPROVED - NOT IMPLEMENTED","Bulk policy selected via Cursor on 2026-07-21; named CBS business/data-owner sign-off remains required before implementation."
