"Relative_Path","Original_Difference","Category","Disposition","Risk","Evidence","Required_Action","A_IMP_03_Source_Change_Authorised","Owner_Signoff"
"objectTranslations/Consent_Request_Item__c-en_US/Active_Request_Key__c.fieldTranslation-meta.xml","SANDBOX_ONLY","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Translation stubs were generated for A-IMP-02 fields and contain no A-IMP-03 behaviour.","Exclude from A-IMP-03 Manifest.","NO","NOT REQUIRED FOR A-IMP-03"
"objectTranslations/Consent_Request_Item__c-en_US/Consent_Purpose__c.fieldTranslation-meta.xml","SANDBOX_ONLY","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Translation stubs were generated for A-IMP-02 fields and contain no A-IMP-03 behaviour.","Exclude from A-IMP-03 Manifest.","NO","NOT REQUIRED FOR A-IMP-03"
"objectTranslations/Contact-en_US/Contact-en_US.objectTranslation-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Translation difference contains no changed label or business value.","Exclude empty/comment-only translation context from A-IMP-03.","NO","NOT REQUIRED FOR A-IMP-03"
"profiles/Admin.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/Analytics Cloud Integration User.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/Analytics Cloud Security User.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/Chatter External User.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/Chatter Free User.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/Chatter Moderator User.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/Community Profile.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/ContractManager.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/CPQ Integration User.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/Customer Community Plus User.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/End User.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/Executive Sponsor.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/Guest License User.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/Identity User.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/MarketingProfile.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/Minimum Access - API Only Integrations.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/Minimum Access - Salesforce.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/Partner Portal Profile.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/PartnerCommunity Profile.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/PartnerCommunity Profile1779766427188.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/QR Code Site Profile.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/Read Only.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/Sales Insights Integration User.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/Salesforce API Only System Integrations.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/SolutionManager.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"profiles/Standard.profile-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - ADOPT SANDBOX READABLE/EDITABLE FLS","HIGH","All 26 Profiles expose Employment_Status__c, Full_Name__c, ID_Number__c and ID_Type__c as readable/editable; 16 are external/restricted critical profiles.","A-IMP-08 controlled baseline reconciliation preserving editable FLS for all 26 Profiles; record accepted external/restricted-profile risk.","NO","DECISION CONFIRMED 2026-07-21; NAMED SECURITY OWNER RECORD PENDING"
"queues/CBS_Processing_Queue.queue-meta.xml","CONTENT_CHANGED","TRUE_CONFLICT_REQUIRES_OWNER","DECIDED - RETAIN ACTIVE USER QUEUE MEMBERSHIP","HIGH","Sandbox contains a named user member not present in the baseline queue metadata.","Preserve the current ChenTest CBS Case queue assignment as environment runtime configuration; do not generalise the username across environments.","NO","DECISION CONFIRMED 2026-07-21; OPERATIONS OWNER RECORD PENDING"
"settings/Analytics.settings-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Differences are platform/API explicit-default or omitted-default settings with no changed business value.","Do not import whole-org settings into the A-IMP-03 branch.","NO","NOT REQUIRED FOR A-IMP-03"
"settings/Apex.settings-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Differences are platform/API explicit-default or omitted-default settings with no changed business value.","Do not import whole-org settings into the A-IMP-03 branch.","NO","NOT REQUIRED FOR A-IMP-03"
"settings/Case.settings-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Differences are platform/API explicit-default or omitted-default settings with no changed business value.","Do not import whole-org settings into the A-IMP-03 branch.","NO","NOT REQUIRED FOR A-IMP-03"
"settings/Commerce.settings-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Differences are platform/API explicit-default or omitted-default settings with no changed business value.","Do not import whole-org settings into the A-IMP-03 branch.","NO","NOT REQUIRED FOR A-IMP-03"
"settings/DevHub.settings-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Differences are platform/API explicit-default or omitted-default settings with no changed business value.","Do not import whole-org settings into the A-IMP-03 branch.","NO","NOT REQUIRED FOR A-IMP-03"
"settings/EncryptionKey.settings-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Differences are platform/API explicit-default or omitted-default settings with no changed business value.","Do not import whole-org settings into the A-IMP-03 branch.","NO","NOT REQUIRED FOR A-IMP-03"
"settings/GRCIntelligenceUdd.settings-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Differences are platform/API explicit-default or omitted-default settings with no changed business value.","Do not import whole-org settings into the A-IMP-03 branch.","NO","NOT REQUIRED FOR A-IMP-03"
"settings/Industries.settings-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Differences are platform/API explicit-default or omitted-default settings with no changed business value.","Do not import whole-org settings into the A-IMP-03 branch.","NO","NOT REQUIRED FOR A-IMP-03"
"settings/Language.settings-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Differences are platform/API explicit-default or omitted-default settings with no changed business value.","Do not import whole-org settings into the A-IMP-03 branch.","NO","NOT REQUIRED FOR A-IMP-03"
"settings/LeadConfig.settings-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Differences are platform/API explicit-default or omitted-default settings with no changed business value.","Do not import whole-org settings into the A-IMP-03 branch.","NO","NOT REQUIRED FOR A-IMP-03"
"settings/LightningExperience.settings-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Differences are platform/API explicit-default or omitted-default settings with no changed business value.","Do not import whole-org settings into the A-IMP-03 branch.","NO","NOT REQUIRED FOR A-IMP-03"
"settings/Security.settings-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Differences are platform/API explicit-default or omitted-default settings with no changed business value.","Do not import whole-org settings into the A-IMP-03 branch.","NO","NOT REQUIRED FOR A-IMP-03"
"settings/ServiceItsmIntelligenceUdd.settings-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Differences are platform/API explicit-default or omitted-default settings with no changed business value.","Do not import whole-org settings into the A-IMP-03 branch.","NO","NOT REQUIRED FOR A-IMP-03"
"settings/UserInterface.settings-meta.xml","CONTENT_CHANGED","EXPECTED_RETRIEVE_NOISE","ACCEPTED RETRIEVE NORMALISATION","LOW","Differences are platform/API explicit-default or omitted-default settings with no changed business value.","Do not import whole-org settings into the A-IMP-03 branch.","NO","NOT REQUIRED FOR A-IMP-03"
"siteDotComSites/PartnerCommunity2.site","CONTENT_CHANGED","OTHER_REVIEW","CLOSED - CONFIRMED OUT OF A-IMP-03 SCOPE","HIGH","The artifact is binary; byte differences cannot prove semantic or publish-state changes.","Exclude from the A-IMP-03 Manifest; no semantic Site.com comparison required for this workstream.","NO","CONFIRMED 2026-07-21"
