"Account_ID","Current_Client_Status","Client_Code_Status","Active_External_Users","Recommended_Disposition","Recommendation_Rationale","Required_Business_Decision","Evidence_Required","Business_Owner","Owner_Decision","Approval_Date","Implementation_Authorised"
"H-8fc3a76fffd1dec0","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-bbf262af34c231cb","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-2a764643fdbcecd0","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-c16c7d26204ac456","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-71ddc5fb7e23d1af","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-2ec4e7416fea116b","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-d40bdc6c91db228e","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-999e3ab792edb9b7","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-3afd39c385c74a37","Active","PRESENT_UNIQUE_IN_EXPORT","COUNT=0","START_NEW_ONBOARDING_CYCLE","Account is Active with a populated unique Client Code but no qualifying runtime prerequisite evidence.","Approve a new onboarding cycle or provide evidence supporting a grandfather exception.","Closed Won, Contract, signed File, checklist and approval evidence.","陈财 / CBS系统负责人","APPROVED - NEW ONBOARDING CYCLE","2026-07-21","NO - PHASE 2 ONLY"
"H-12c9739cf43ac1be","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-9cc4391155786ebe","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-94f2d3236a1871b7","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-4564b11b9dd906b7","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-adc2fb8fc239691d","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-f72dc6efd4ee08a6","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-91f535d3d69cde1c","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-04f09d10360f43a0","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-f61e47beba1e313f","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-bf439508c1b7ae24","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-cf31068347580b06","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-779704b86c92451a","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-704ffb4c9eba5498","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-a112928b69e525b3","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-b9d8e13b8b78a480","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-349f9f0dbd3df173","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-07ff886ceb4688ff","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-901b28a9b096504e","Active","PRESENT_UNIQUE_IN_EXPORT","COUNT=1","GRANDFATHER_EXCEPTION_CANDIDATE_OR_REBUILD","Active external access exists, but no Opportunity, Contract, File or onboarding Task evidence was found.","Choose: rebuild evidence; approve a documented grandfather exception; start a new onboarding cycle; or suspend access.","External access entitlement, historical approval, Contract/File evidence and named owner review.","陈财 / CBS系统负责人","APPROVED - GRANDFATHER EXCEPTION (NOT ONBOARDING-COMPLETE)","2026-07-21","NO - PHASE 2 ONLY"
"H-4dfe138aba56a92d","","MISSING","COUNT=0","HOLD_PENDING_BUSINESS_CLASSIFICATION","Notification email is the only positive CBS indicator; status, Client Code, lifecycle evidence and external-user evidence are absent.","Confirm whether this is a CBS client before selecting exclusion or a remediated new onboarding cycle.","CBS-client classification, notification-email ownership and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-4a1a9314ff98e22f","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-d0bc10bece3f662e","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-19ab2ea76cf18f81","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-8feedf38fee5629d","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-c138f7e7f39272e1","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-6427c7ba5bd71a3c","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-be602bc241704caa","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-787a1ce525994035","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-821117f8e4925975","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-9a0f8bc21749ff7e","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-b52d9048500f523e","Active","MISSING","COUNT=0","HOLD_CLIENT_CODE_REMEDIATION_THEN_NEW_ONBOARDING","Account is Active but has no Client Code and no qualifying runtime prerequisite evidence.","Confirm CBS-client classification, approve Client Code remediation and choose new onboarding or exclusion.","CBS-client classification, approved Client Code source, Closed Won/Contract/File evidence.","陈财 / CBS系统负责人","APPROVED - REMEDIATE CLIENT CODE THEN NEW ONBOARDING CYCLE","2026-07-21","NO - PHASE 2 ONLY"
"H-d4516ea41c383503","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-aa513a3439eaf07c","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
"H-0f142a7ad5dfa70f","","MISSING","COUNT=0","EXCLUDE_AS_NON_CBS_CANDIDATE_PENDING_CLASSIFICATION","Status and Client Code are blank and no Opportunity, Contract, File, onboarding Task or active external User evidence was found.","Confirm whether this is a CBS client. If yes, approve Client Code remediation and a new onboarding cycle; otherwise approve exclusion.","CBS-client classification and accountable business owner.","陈财 / CBS系统负责人","APPROVED - BATCH HOLD RULE (EXCLUSION CANDIDATE)","2026-07-21","NO - PHASE 2 ONLY"
