Item_ID,Workstream,Component_Type,API_Name,File_Path,Action,Current_State,Target_State,Disposition,Runtime_Evidence,Dependency,Requirement,Design_Decision,Acceptance_Criteria,Deployment_Wave,Rollback,Notes
A03-016,A-IMP-03,FlowApprovalProcess,CBS_Onboarding_Approval,force-app/main/default/approvalProcesses/CBS_Onboarding_Approval.approvalProcess-meta.xml,CREATE,"NOT FOUND; no approval assets retrieved","Named Administrator checker; self-approval blocked; approve/return/recall",HOLD,"R09,R10","Confirm Flow Approval metadata type, availability, limits and routing","A-REQ-016,A-REQ-017,A-REQ-024","A-DD-005,A-DD-007,A-DD-010","A-WS03-AC09-A-WS03-AC11,A-WS03-AC15","Approval","Deactivate process; recall/unlock records; preserve history","Classic Approval is not an authorised silent fallback"
A03-P01,A-IMP-03,CustomField,Account.Onboarding_Return_Reason__c,force-app/main/default/objects/Account/fields/Onboarding_Return_Reason__c.field-meta.xml,PROPOSED CREATE,"NOT FOUND","Long Text Area; latest sanitised return reason",HOLD,"R09,R10","Manifest amendment and approval-history design","A-REQ-014,A-REQ-016,A-REQ-017","A-DD-005,A-DD-007","A-WS03-AC10,A-WS03-AC14","Fields","Preserve approval history; remove only before data exists","Outside supplied 16-row template; approval required"
A03-P02,A-IMP-03,CustomField,Account.Onboarding_Cancel_Reason__c,force-app/main/default/objects/Account/fields/Onboarding_Cancel_Reason__c.field-meta.xml,PROPOSED CREATE,"NOT FOUND","Long Text Area; mandatory on cancellation",HOLD,"R03,R10","Manifest amendment and cancellation policy","A-REQ-014","A-DD-002,A-DD-007","A-WS03-AC17","Fields","Preserve reason evidence; remove only before data exists","Outside supplied 16-row template; approval required"
A03-P03,A-IMP-03,CustomFields,"Task.Checklist_Item_Code__c; Task.Checklist_Sequence__c; Task.Is_Mandatory__c; Task.Onboarding_Cycle__c; Task.Evidence_Reference__c; Task.Completed_By__c; Task.Completed_At__c",force-app/main/default/objects/Task/fields/,PROPOSED CREATE,"NOT FOUND","Controlled checklist identity, order, mandatory flag, cycle, non-sensitive evidence and first completion audit",HOLD,"R07,R10","Manifest amendment; choose safe code type; idempotency design","A-REQ-014","A-DD-002,A-DD-007","A-WS03-AC02-A-WS03-AC06,A-WS03-AC22","Fields","Deactivate automation; preserve/export Task evidence","Seven separate files required; no unique key approved"
A03-P04,A-IMP-03,Flow,CBS_Onboarding_Return_Cancel,force-app/main/default/flows/CBS_Onboarding_Return_Cancel.flow-meta.xml,PROPOSED CREATE,"NOT FOUND","Controlled RETURN/CANCEL modes",HOLD,"R09,R10","Manifest amendment; approval integration; reason fields","A-REQ-014,A-REQ-016,A-REQ-017","A-DD-005,A-DD-007","A-WS03-AC10,A-WS03-AC14,A-WS03-AC17","Automation","Deactivate; preserve approval history and reasons","Outside supplied template"
A03-P05,A-IMP-03,Flow,CBS_Onboarding_Completion_Notification,force-app/main/default/flows/CBS_Onboarding_Completion_Notification.flow-meta.xml,PROPOSED CREATE,"NOT FOUND","Persist completion evidence and send internal notification only",HOLD,"R09,R10","Manifest amendment; approved notification mechanism","A-REQ-014,A-REQ-024","A-DD-007,A-DD-010","A-WS03-AC11,A-WS03-AC12","Automation","Deactivate notification Flow; retain audit evidence","Must never activate external User"
A03-P06,A-IMP-03,ValidationRules,Account protected lifecycle controls,force-app/main/default/objects/Account/validationRules/,PROPOSED CREATE,"NOT FOUND","Prevent direct Active/Pending Approval/Completed and audit-field edits outside controlled path",HOLD,"R01,R03,R09,R10","Exact API names/formulas; remediation bypass design; Manifest amendment","A-REQ-001,A-REQ-014,A-REQ-016,A-REQ-017","A-DD-002,A-DD-005,A-DD-007","A-WS03-AC07,A-WS03-AC18","Controls","Deactivate new rules; restore prior valid state","Exact component names are not approved"
A03-P07,A-IMP-03,HistoryTracking,Account onboarding fields,force-app/main/default/objects/Account/Account.object-meta.xml,PROPOSED MODIFY,"FOUND: enableHistory=false","Enable only approved non-sensitive governance field history within capacity",HOLD,"R10","Capacity and A-IMP-10 boundary; exact field list","A-REQ-014","A-DD-007","A-WS03-AC15","Controls","Restore object/field history flags; retain historical records per platform behaviour","Full audit catalogue deferred to A-IMP-10"
A03-P08,A-IMP-03,PermissionAndLayout,Minimum internal test exposure,force-app/main/default/,AMENDMENT APPROVED,"Wave 1 fields deployed; no UI/FLS","Minimum controlled internal exposure; no external access",READY,"R09,R11","Wave 1 fields in org; manual page assignment","A-REQ-023,A-REQ-024","A-DD-001,A-DD-010","A-WS03-AC19,A-WS03-AC20","Min exposure package","Restore assignments/layouts/FLS","Amendment 2026-07-21; package package-A-IMP-03-min-exposure.xml; not full A-IMP-11"
A03-P09,A-IMP-03,DataRemediation,Existing Account baseline,cursor-output/decision-registers/05_existing_account_baseline_decision_register.csv,ANALYSIS ONLY,"52 masked rows; business policy approved 2026-07-21 by 陈财 / CBS系统负责人","Owner-approved per-Account disposition and reversible plan",ANALYSIS ONLY,"R01-R08","Step 7 complete; Wave 2 remediation is a separate gate","A-REQ-001,A-REQ-014","A-DD-002,A-DD-007","A-WS03-AC18","Runtime gate","Restore only from separately approved before-values","No DML authorised; 48 batch hold, 1 exclude, 1 grandfather-not-complete, 1 new cycle, 1 remediate-then-new-cycle"
A03-P10,A-IMP-03,RegressionBoundary,A-IMP-02 Contact and Client User separation,force-app/main/default/,RETAIN,"FOUND: A-IMP-02 ChenTest as-built source at ed2f984c","No A-IMP-03 change; preserve Contact purpose guards, consent reuse, layouts, page, app overrides and upload separation",ANALYSIS ONLY,"R11,R12,T21","A-IMP-02 post-deployment regression","A-REQ-007,A-REQ-018","A-DD-001,A-DD-003,A-DD-004","A-WS01-AC01-A-WS01-AC15,A-WS03-AC20","No deployment","Restore from A-IMP-02 approved tip","41 A-IMP-02 force-app changes; zero direct Account/Task delta"
