id,component_type,api_name,action,current_state,approved_target_state,phase2_disposition,activation_or_runtime_gate,traceability,dependencies,rollback
M009A,ValidationRule,Contact.CBS_DS_Required_Identity_By_Stage,Create inactive; activate atomically with M001-M004,No scoped Data_Subject validation; four fields are globally required,"For Data_Subject records in active processing stages Upload, Consent Request, Active Consent, Processing, Report Request, Report Fulfilment or Departure, require AccountId, Full_Name__c, Email, ID_Type__c, ID_Number__c, Date_of_Birth__c and Employment_Status__c. Do not block terminal historical stages Consent Declined, Consent Withdrawn, Consent Expired or Consumed solely because a legacy field is absent.",READY - implement after final Phase 2 approval,Run Category B regression and dry-run report before activation. Current upload controller already validates the same six uploaded identity attributes plus client Account context.,A-REQ-018; confirmed pre-Phase 2 decision,M001-M004; BatchExcelUploadValidationService,Deactivate new rule and restore global requiredness only as full rollback
M009B,ValidationRule,Contact.CBS_SP_Required_Identity_By_Stage,Create inactive; activate atomically with M001-M004,Singpass shares global field requirements and no stage-scoped rule,"For Singpass records in active processing stages, require the M009A identity set. From Consent Request onward also require Authentication_Type__c = Singpass. Do not add a MyInfo success requirement in Category A.",READY - implement after final Phase 2 approval,Run Singpass staging regression; activate only after existing records pass dry run.,A-REQ-018; confirmed pre-Phase 2 decision,M001-M004; Singpass journeys remain Category I owned,Deactivate new rule and restore global requiredness only as full rollback
M009C,ValidationRule,Contact.CBS_NSP_Required_Identity_By_Stage,Create inactive; activate atomically with M001-M004,Non_Singpass shares global field requirements and no stage-scoped rule,"For Non_Singpass records in active processing stages, require the M009A identity set. From Consent Request onward also require Authentication_Type__c = Non-Singpass.",READY - implement after final Phase 2 approval,Run Non-Singpass consent regression; activate only after existing records pass dry run.,A-REQ-018; confirmed pre-Phase 2 decision,M001-M004; Category B consent journeys,Deactivate new rule and restore global requiredness only as full rollback
M010,ValidationRule,Contact.CBS_DS_Prohibit_Client_Access_Data,Create inactive; activate after remediation approval,"Data Subject-family records can carry Portal_Role__c, Can_Approve__c and Is_Active_Client_User__c","For Data_Subject, Singpass and Non_Singpass block Portal_Role__c, Can_Approve__c and Is_Active_Client_User__c.",READY - build now; activate/deploy only after runtime gate,Run R04; correct BatchExcelUploadController first; no automatic data clearing.,A-REQ-007; A-DD-003,M015-M016; M029,Deactivate/delete new rule
M011,ValidationRule,Contact.CBS_CU_Role_Approval_Consistency,Create inactive; activate in deployment wave,Can_Approve__c and Portal_Role__c can conflict,For Client_User: blank Portal_Role__c requires Can_Approve__c=false; HR requires false; Approver requires true. Do not require a role merely because the Contact exists.,READY - implement after final Phase 2 approval,Activate after role-value dry run. Later maker-checker automation remains authoritative for provisioning.,A-REQ-007; A-DD-004,M005-M006; later A-IMP-05/A-IMP-08,Deactivate/delete new rule
M012,Flow,contactApproveCreateConsentRequest,Modify in place,After-create Contact flow runs for every new Contact with Email,"Add an explicit record-purpose gate: only Data_Subject, Singpass and Non_Singpass may proceed. Client_User exits without creating or updating a Consent_Request_Item__c. Preserve the Email-not-null condition.",READY - implement after final Phase 2 approval,Regression tests must prove Client_User creates zero consent requests and all three Data Subject-family record types retain intended behaviour.,A-REQ-007; A-REQ-018,M013A-M013D; M014; M030,Restore prior active Flow version
M013A,CustomField,Consent_Request_Item__c.Consent_Purpose__c,Create,No immutable request-level consent-purpose snapshot,"Create restricted picklist using Per-Report Consent and Term-Based Consent, copied from Contact.Consent_Type__c when a request is created. This field is immutable after creation except controlled data repair.",READY - implement after final Phase 2 approval,Backfill existing request items from their Data Subject only after R06 data-quality review.,A-REQ-018; confirmed pre-Phase 2 decision,Contact.Consent_Type__c; M013B-M013D,Remove new field only after restoring prior automation and exporting values
M013B,CustomField,Consent_Request_Item__c.Active_Request_Key__c,Create unique text field,No enforceable active-request uniqueness key,"Create case-insensitive unique Text(255). For active statuses Pending, Sent and Viewed set ContactId|AccountId|ConsentPurpose. For terminal statuses Submitted, Declined, Withdrawn, Expired and No Action set null. Multiple terminal records are allowed.",READY - build now; activate/deploy only after runtime gate,R06 must identify existing active duplicates before unique-field backfill/activation. Conflicts require manual business disposition; no automatic merge/delete.,A-REQ-018; confirmed pre-Phase 2 decision,M013A; M013C; M029,"Clear key values, deactivate maintenance automation and remove field if rollback approved"
M013C,Flow,Consent_Request_Item_Maintain_Active_Key,Create before-save flow,No automation maintains an active-request key,"On create/update, obtain the Data Subject Account and maintain Active_Request_Key__c from Data Subject, Account and Consent_Purpose__c for active statuses; clear it for terminal statuses. Prevent changes to Consent_Purpose__c after creation except designated admin repair path.",READY - build now; activate/deploy only after runtime gate,Build may proceed; activation follows active-duplicate remediation and field backfill rehearsal.,A-REQ-018; confirmed pre-Phase 2 decision,M013A-M013B; R06,Deactivate/delete new Flow and clear generated keys
M013D,Flow,contactApproveCreateConsentRequest - active request reuse,Modify,No duplicate lookup or reuse branch,"Before create, resolve consent purpose and search for an active request with the same Data Subject, Account and purpose. If found, reuse the existing request and do not create another. If no active request exists, create Pending with purpose and active key. Completed/terminal records remain immutable and do not block a new valid cycle.",READY - build now; activate/deploy only after runtime gate,"Activate only after M013A-M013C, R06 and regression tests. Repeat invitation processes must reference the active request rather than create a new item; Category F will own communication-event history.",A-REQ-018; confirmed pre-Phase 2 decision,M013A-M013C; M030; Category F communication history,Restore prior Flow version
M014,Flow,contactApproveCreateConsentRequest - fault Case,Modify fault path,Fault path assigns a transient variable only,"Persist a sanitised internal Case: Owner=CBS Processing Queue; Status=New; Priority=High; Type=Problem; Exception_Type__c=Other; AccountId and ContactId from the triggering Contact; Subject=A-IMP-02 consent request creation failure; Description contains Flow API name, Contact Id, Flow interview identifier and sanitised fault message only. Do not copy identity numbers, DOB or MyInfo values.",READY - implement after final Phase 2 approval,"Verify CBS Processing Queue membership and Case create/FLS in the deployment user context. If queue has no active member, stop deployment.",A-REQ-010; confirmed pre-Phase 2 decision,CBS_Processing_Queue; standard Case values,Restore prior Flow version; close any test Cases
M015,ApexClass,BatchExcelUploadController,Modify,buildContacts assigns the first active Portal_Role__c value to uploaded Data Subjects,Remove all Portal_Role__c population and do not populate Can_Approve__c or Is_Active_Client_User__c on Data Subject-family Contacts.,READY - implement after final Phase 2 approval,Run full upload regression including existing-hire and pre-hire paths.,A-REQ-007; A-REQ-018,M010; M016,Restore prior Apex class
M016,ApexClass,BatchExcelUploadControllerTest,Modify,Test helpers populate/tolerate Portal_Role__c,"Remove Portal Role setup for Data Subjects and add assertions that Portal_Role__c, Can_Approve__c and Is_Active_Client_User__c remain blank/false.",READY - implement after final Phase 2 approval,All upload and validation tests must pass.,A-REQ-007; A-REQ-018,M015; M030,Restore prior test class
M017,Layout,Contact-CBS Contact - Client User Layout,Modify,Requires PII and exposes data-subject/admin actions,"Expose Account, First Name, Last Name, Email, Department optional, Title, Phone, Portal Role optional, Can Approve read-only, Active Client User read-only and audit fields. Remove all identity/MyInfo/consent/report/departure fields and remove Login As, portal enable/disable, Delete, Clone, Change Owner, Change Record Type and Share actions.",READY - implement after final Phase 2 approval,Visual QA against A-HERO-01/A-HERO-04 context; verify authorised admin actions remain available through controlled processes.,A-REQ-007; A-REQ-018,M008A-M008C; M019,Restore prior layout
M018,Layouts,Contact data-subject layouts (6),Modify,Portal_Role__c and client-access fields are visible on Data Subject-family layouts,"Remove Portal_Role__c, Can_Approve__c and Is_Active_Client_User__c from Data Subject, Singpass and Non-Singpass layouts while preserving Category B-I processing fields.",READY - implement after final Phase 2 approval,Complete visual and Categories B-I regression review.,A-REQ-007; A-REQ-018,M010,Restore prior layouts
M019,FlexiPage,CBS_Client_User_Record_Page,Create,No dedicated Client User Lightning page,"Create a standard-component page for Client_User only, without Data Subject Path, consent, report, departure, matching or MyInfo components. Use approved internal navigation and minimum profile content.",READY - implement after final Phase 2 approval,Final Business Development assignment remains A-IMP-08; verify admin assignment now.,A-REQ-007; A-DD-001,M017; M020,Remove new FlexiPage
M020,CustomApplication,Credit_Bureau,Modify,No Client_User page override,Add Client_User page override for authorised internal admin contexts and both form factors. Do not create Business Development permissions in A-IMP-02.,READY - implement after final Phase 2 approval,Regression test current admin context; final Business Development context deferred to A-IMP-08.,A-REQ-007; confirmed pre-Phase 2 decision,M019; A-IMP-08,Restore prior application XML
M021,Profile,Customer Community Plus User - Client_User layout assignment,Retain; regression test only,Maps Client_User to SingPass Community User layout,"Do not change external profile, sharing or route design in A-IMP-02. Record current-state exposure and prove A-IMP-02 causes no regression. Full correction belongs to A-IMP-09.",DEFERRED - later approved workstream,Any confirmed active data exposure must be escalated as an urgent containment decision rather than silently absorbed into this workstream.,A-REQ-007; A-REQ-009; confirmed pre-Phase 2 decision,A-IMP-09,No change
M022,MatchingRule,Contact.CBS_Client_User_Email_Account_Match,Create inactive; activate after duplicate review,No Client_User-specific matching rule,Exact normalised Email plus Account for Client_User only. Do not include Lead matching.,READY - build now; activate/deploy only after runtime gate,R05 must identify existing duplicate pairs. Resolve manually; no automatic merge.,A-REQ-007; confirmed pre-Phase 2 decision,M023; M029,Deactivate/delete rule
M023,DuplicateRule,Contact.CBS_Client_User_Email_Account_Duplicate,Create inactive; activate after duplicate review,Standard rules allow create/update and include Lead matching,"Block create and update for Client_User when M022 matches. Existing duplicates are reported and manually resolved. No automatic merge, delete or deactivation.",READY - build now; activate/deploy only after runtime gate,Activate only after R05 disposition and test approved admin exception behaviour.,A-REQ-007; confirmed pre-Phase 2 decision,M022; M029,Deactivate/delete rule
M024,CustomObject,Contact,Modify,enableHistory=false,Set enableHistory=true for governance evidence.,READY - build now; activate/deploy only after runtime gate,Verify org field-history capacity and Shield retention configuration before deployment.,A-REQ-010,M025; runtime admin check R09,Restore object XML
M025,CustomField history,Contact governance fields,Modify,No Contact fields have trackHistory=true,"Track Record Type, Account, Email, Department, Portal Role, Can Approve and Active Client User only. Do not track PII or MyInfo fields.",READY - build now; activate/deploy only after runtime gate,Verify available tracked-field capacity and retention before deployment.,A-REQ-010,M024; runtime admin check R09,Restore field XML
M026,PermissionSet/Profile,Legacy external Contact permissions,Retain; analyse only,Broad CRUD/FLS and record-type access remain,Do not reduce in A-IMP-02. Capture effective assignments in R08 and transfer corrective actions to A-IMP-09/A-IMP-08.,DEFERRED - later approved workstream,Current-state regression only.,A-REQ-009; confirmed pre-Phase 2 decision,A-IMP-08; A-IMP-09,No change
M027,ExperienceBundle,PartnerCommunity2 Contact routes,Retain; analyse only,"Generic Contact List, Detail and Related List routes exist",Do not publish route changes in A-IMP-02. Execute current-state regression and transfer redesign to A-IMP-09.,DEFERRED - later approved workstream,Escalate confirmed exposure as urgent containment.,A-REQ-009; confirmed pre-Phase 2 decision,A-IMP-09,No change
M028,SharingSettings/SharingSet,Contact OWD and AccountSharing,Retain; analyse only,Contact ControlledByParent; external Account sharing grants Edit,No sharing-model change in A-IMP-02. Record the baseline and execute no-regression tests.,DEFERRED - later approved workstream,Target isolation remains A-IMP-09.,A-REQ-008; A-REQ-009; confirmed pre-Phase 2 decision,A-IMP-09,No change
M029,DataRemediation,Client User and Data Subject records,Read-only runtime analysis and controlled remediation plan,Metadata snapshot contains no records or assignments,"Run R01-R09 read-only queries; export and classify Client User PII, mixed-purpose records, Client Admin roles, Data Subject access fields, duplicate Client Users, active duplicate consent requests, linked Experience Cloud Users and effective assignments. Produce an owner-approved remediation register. No automatic clearing, deletion, merge or record-type conversion.",ANALYSIS ONLY - no metadata change,"This environment has no connected Salesforce org, so R01-R09 remain externally executable and are the final evidence gate before activation/deployment of gated rows.",A-REQ-010; A-REQ-018; confirmed pre-Phase 2 decision,Connected Sandbox access and CBS data-owner approval,Restore only from approved backup CSV for any separately authorised remediation
M030,Tests,A-IMP-02 regression suite,Create/modify,No dedicated separation suite,"Add tests for Client_User zero-consent creation, all Data Subject-family continuity, stage-scoped validation, upload role separation, active-request reuse, terminal-request immutability, fault Case sanitation, duplicate-rule behaviour and current-state Experience Cloud no-regression. Final Business Development permission-context test remains A-IMP-08.",READY - implement after final Phase 2 approval,All tests and negative tests must pass before deployment.,A-WS01-AC01-15; confirmed pre-Phase 2 decision,M001-M029; later A-IMP-08/A-IMP-09 tests,Remove new tests and restore changed tests
